0.96,0.09,0.60656
0.58,0.92,-4.5977
0.42,0.47,-2.7541
0.29,0.06,-0.53641
0.46,0.67,-3.6771
0.75,0.28,-1.1599
0.84,0.14,-0.027045
0.22,0.38,-1.2844
0.84,0.38,-0.91486
0.74,0.35,-1.4062
0.14,0.59,-1.7344
0.71,0.74,-3.1628
0.43,0.19,-1.6781
0.85,0.42,-1.0386
0.86,0.09,0.24892
0.67,0.49,-2.4536
0.73,0.85,-3.4604
0.58,0.15,-1.5617
0.44,0.28,-1.9864
0.81,0.53,-1.7976
0.88,0.25,-0.26304
0.96,0.05,0.74078
0.64,0.52,-2.7755
0.44,0.18,-1.6275
0.35,0.06,-0.86748
0.27,0.37,-1.5527
0.26,0.77,-3.0654
0.75,0.8,-3.1602
0.02,0.11,0.63062
0.69,0.92,-4.1198
0.67,0.42,-2.0728
0.58,0.63,-3.4316
0.54,0.3,-2.0738
0.97,0.91,-2.5933
0.45,0.52,-3.0462
0.3,0.08,-0.56775
0.48,0.42,-2.6435
0.21,0.07,-0.059292
0.24,0.74,-2.9716
0.9,0.43,-0.89013
0.31,0.71,-3.1409
0.49,0.59,-3.2889
0.06,0.06,0.6695
0.35,0.73,-3.5473
0.8,0.92,-3.4272
0.34,0.81,-3.7284
0.06,0.43,-0.7789
0.37,0.99,-4.6345
0.93,0.25,-0.038511
0.31,0.78,-3.4886
0.02,0.36,-0.4371
0.68,0.87,-3.9178
0.52,0.33,-2.2543
0.01,0.29,-0.21679
0.88,0.51,-1.3087
0.78,0.3,-0.97994
0.25,0.2,-0.77468
0.75,0.71,-2.8649
0.91,0.22,0.086813
0.65,0.79,-3.7673
0.67,0.82,-3.6907
0.27,0.51,-2.307
0.74,0.38,-1.6531
0.84,0.5,-1.4574
0.47,0.27,-2.1441
0.96,0.28,-0.18397
0.74,0.31,-1.2813
0.01,0.31,-0.31685
0.57,0.25,-1.8764
0.6,0.4,-2.5475
0.92,0.72,-1.9336
0.67,0.26,-1.4404
0.48,0.89,-4.5643
1,0.17,0.41762
0.07,0.34,-0.54465
0.19,0.94,-3.3511
0.65,0.72,-3.4507
0.71,0.66,-2.8571
0.96,0.79,-2.1008
0.7,0.44,-2.1438
0.2,0.38,-1.1412
0.28,0.22,-1.1
0.64,0.82,-3.8842
0.38,0.65,-3.3089
0.66,0.66,-3.2002
0.78,0.66,-2.338
0.32,0.18,-1.1769
0.28,0.39,-1.6952
0.89,0.66,-1.8643
0.81,0.94,-3.3493
0.32,0.63,-3.0015
0.06,0.39,-0.61917
0.03,0.29,-0.25169
0.38,0.79,-3.9092
0.86,0.33,-0.64983
0.57,0.18,-1.6205
0.17,0.57,-1.7887
0.42,0.03,-0.9948
0.19,0.6,-2.0308
0.78,0.84,-3.2493
0.97,0.28,-0.129
0.01,0.41,-0.59772
0.43,0.26,-1.9032
0.48,0.91,-4.5653
0.57,0.51,-2.9399
0.03,0.95,-2.7357
0.95,0.95,-2.818
0.31,0.69,-3.1104
0.81,0.9,-3.2334
0.87,0.95,-3.081
0.76,0.4,-1.5145
0.3,0.35,-1.7294
0.27,0.68,-2.8263
0.21,0.4,-1.3292
0.17,0.43,-1.1354
0.23,0.11,-0.23792
0.31,0.34,-1.6508
0.35,0.4,-2.2671
0.35,0.63,-3.1065
0.34,0.08,-0.78356
0.01,0.54,-1.2286
0.59,0.98,-4.6846
0.39,0.02,-0.86365
0.7,0.55,-2.4186
0.2,0.67,-2.3069
0.31,0.17,-1.0025
0.6,0.98,-4.7846
0.76,0.06,-0.26553
0.02,0.73,-2.0048
0.08,0.58,-1.4275
0.56,0.98,-4.7716
0.75,0.64,-2.5359
0.77,0.4,-1.456
0.82,0.48,-1.4379
0.74,0.14,-0.62228
0.04,0.04,0.78056
0.54,0.63,-3.4992
0.03,0.24,0.01436
0.16,0.66,-1.933
0.95,0.82,-2.3364
0.6,0.13,-1.2596
0.57,0.89,-4.4451
0.1,0.52,-1.208
0.59,0.59,-3.1792
0.62,0.97,-4.6086
0.99,0.35,-0.4202
0.6,0.97,-4.5993
0.49,0.75,-4.0507
0.08,0.2,0.070257
0.45,0.09,-1.2617
0.49,0.95,-4.7444
0.9,0.58,-1.4065
0.72,0.77,-3.3169
0.37,0.14,-1.2539
0.42,0.08,-1.0558
0.4,0.44,-2.5965
0.69,0.25,-1.501
0.67,0.34,-1.8967
0.5,0.14,-1.5915
0.74,0.81,-3.3149
0.6,0.42,-2.4686
0.02,0.94,-2.739
0.2,0.15,-0.26818
0.83,0.03,0.37966
0.58,0.2,-1.7635
0.71,0.19,-0.98738
0.72,0.1,-0.61159
0.04,0.71,-1.8964
0.06,0.71,-1.9207
0.35,0.16,-1.1926
0.81,0.21,-0.40721
0.84,0.65,-2.1048
0.19,0.18,-0.36491
0.51,0.71,-3.9118
0.89,0.86,-2.6737
0.74,0.03,-0.19653
0.64,0.01,-0.59017
0.34,0.53,-2.5878
0.89,0.68,-1.9864
